Operation,Machine,Coach Variant,Start Time,End Time,Input,Output,Coach Variant Manufactured
Stage XI Supporting members are welded at Topside of underframe,UF0820,Variant 1,2021-07-20 00:15:00,2021-07-20 00:16:00,['Supporting Members'],['Supporting Members'],0
Stage XI Supporting members are welded at Topside of underframe,UF0820,Variant 1,2021-07-20 00:31:00,2021-07-20 00:32:00,['Supporting Members'],['Supporting Members'],0
Stage XI Supporting members are welded at Topside of underframe,UF0820,Variant 1,2021-07-20 00:47:00,2021-07-20 00:48:00,['Supporting Members'],['Supporting Members'],0
Stage XI Supporting members are welded at Topside of underframe,UF0820,Variant 1,2021-07-20 01:03:00,2021-07-20 01:04:00,['Supporting Members'],['Supporting Members'],0
Stage XI Supporting members are welded at Topside of underframe,UF0820,Variant 1,2021-07-20 01:19:00,2021-07-20 01:20:00,['Supporting Members'],['Supporting Members'],0
Stage XI Supporting members are welded at Topside of underframe,UF0820,Variant 1,2021-07-20 01:35:00,2021-07-20 01:36:00,['Supporting Members'],['Supporting Members'],0
Stage XI Supporting members are welded at Topside of underframe,UF0820,Variant 1,2021-07-20 01:51:00,2021-07-20 01:52:00,['Supporting Members'],['Supporting Members'],0
Stage XI Supporting members are welded at Topside of underframe,UF0820,Variant 1,2021-07-20 02:07:00,2021-07-20 02:08:00,['Supporting Members'],['Supporting Members'],0
Stage XI Supporting members are welded at Topside of underframe,UF0820,Variant 1,2021-07-20 02:23:00,2021-07-20 02:24:00,['Supporting Members'],['Supporting Members'],0
Stage XI Supporting members are welded at Topside of underframe,UF0820,Variant 1,2021-07-20 02:39:00,2021-07-20 02:40:00,['Supporting Members'],['Supporting Members'],0
"Stage I Fab:Bat Box SubAssy, Pump Mt Brkt, Elec RBC channel & other cross member SubAssys",UF0110,Variant 1,2021-07-20 00:15:00,2021-07-20 03:05:00,"['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']","['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']",0
Stage-I SW Skeleton Tack Welding,SW0110,Variant 1,2021-07-20 00:15:00,2021-07-20 03:15:00,"['SIDE WALL SHEET', 'SIDE WALL FRAME WORK LHS']",['LHB Side Wall LHS'],0
Stage-VI Backpiece Leftover welding,SW0160,Variant 1,2021-07-20 00:15:00,2021-07-20 03:15:00,['Welding Parts Side wall LHS'],['Welding Parts Side wall LHS'],0
"Stage I Fabrication of Sub assemblies at Tacking Jigs & Fixtures , Framework tacking of Endwall Complete",EW0110,Variant 1,2021-07-20 00:15:00,2021-07-20 03:29:00,"['ARCH COMPLETE', 'ARCH COMPLETE', 'SILL COMPLETE', 'RAM PILLAR COMPLETE', 'RAM PILLAR COMPLETE', 'RAM FLANGE COMPLETE', 'FRAME WORK END WALL', 'End wall sheets']",['Output LHB END Wall'],0
Stage I Machine- B&C machine,RF0110,Variant 1,2021-07-20 00:15:00,2021-07-20 03:55:00,['Roof sheeting complete'],['Roof sheeting complete'],0
Stage-II Robotic Spot Welding,SW0120,Variant 1,2021-07-20 03:30:00,2021-07-20 03:55:00,['LHB Side Wall LHS'],['LHB Side Wall LHS'],0
Stage II Robotic Endwall Welding Station,EW0120,Variant 1,2021-07-20 03:44:00,2021-07-20 04:00:00,['Output LHB END Wall'],['Output LHB END Wall'],0
Stage III Manual Repair stand,EW0130,Variant 1,2021-07-20 04:15:00,2021-07-20 04:17:00,['Output LHB END Wall'],['End wall Complete'],0
Stage-III SW skeletion Robotic Mig Welding,SW0130,Variant 1,2021-07-20 04:10:00,2021-07-20 04:35:00,['LHB Side Wall LHS'],['LHB Side Wall LHS'],0
Stage-IV Roof Bearer Robotic Arc Spot welding,SW0140,Variant 1,2021-07-20 04:50:00,2021-07-20 04:51:00,"['CARLINE', 'LHB Side Wall LHS']",['E'],0
"Stage I Fab:Bat Box SubAssy, Pump Mt Brkt, Elec RBC channel & other cross member SubAssys",UF0110,Variant 1,2021-07-20 03:20:00,2021-07-20 06:10:00,"['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']","['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']",0
Stage-I SW Skeleton Tack Welding,SW0110,Variant 1,2021-07-20 03:30:00,2021-07-20 06:30:00,"['SIDE WALL SHEET', 'SIDE WALL FRAME WORK LHS']",['LHB Side Wall LHS'],0
