Operation,Machine,Coach Variant,Start Time,End Time,Input,Output,Coach Variant Manufactured
Stage-I SW Skeleton Tack Welding,SW0110,LWSCZAC (2nd Class AC Chair Car),2022-03-01 00:00:00,2022-03-01 03:00:00,"['SIDE WALL SHEET', 'SIDE WALL FRAME WORK LHS']",['LHB Side Wall LHS'],0
Stage-VI Backpiece Leftover welding,SW0160,LWSCZAC (2nd Class AC Chair Car),2022-03-01 00:00:00,2022-03-01 03:20:00,['Welding Parts Side wall LHS'],['Welding Parts Side wall LHS'],0
"Stage I Fab:Bat Box SubAssy, Pump Mt Brkt, Elec RBC channel & other cross member SubAssys",UF0110,LWSCZAC (2nd Class AC Chair Car),2022-03-01 00:00:00,2022-03-01 03:20:00,"['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']","['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']",0
"Stage I Fabrication of Sub assemblies at Tacking Jigs & Fixtures , Framework tacking of Endwall Complete",EW0110,LWSCZAC (2nd Class AC Chair Car),2022-03-01 00:00:00,2022-03-01 03:35:00,"['ARCH COMPLETE', 'ARCH COMPLETE', 'SILL COMPLETE', 'RAM PILLAR COMPLETE', 'RAM PILLAR COMPLETE', 'RAM FLANGE COMPLETE', 'FRAME WORK END WALL', 'End wall sheets']",['Output LHB END Wall'],0
Stage I Machine- B&C machine,RF0110,LWSCZAC (2nd Class AC Chair Car),2022-03-01 00:00:00,2022-03-01 04:00:00,['Roof sheeting complete'],['Roof sheeting complete'],0
Stage X  Manual Welding of Backpieces at Bottom side of underframe,UF0810,LWSCZAC (2nd Class AC Chair Car),2022-03-01 00:00:00,2022-03-01 06:00:00,['Underframe Welding Parts'],['Underframe Welding Parts'],0
Stage XI Supporting members are welded at Topside of underframe,UF0820,LWSCZAC (2nd Class AC Chair Car),2022-03-01 00:00:00,2022-03-01 06:20:00,['Supporting Members'],['Supporting Members'],0
Stage-II Robotic Spot Welding,SW0120,LWSCZAC (2nd Class AC Chair Car),2022-03-01 03:00:00,2022-03-01 06:45:00,['LHB Side Wall LHS'],['LHB Side Wall LHS'],0
"Stage II Framing, fitment & welding with BO front Part  of Underframe middle parts",UF0210,LWSCZAC (2nd Class AC Chair Car),2022-03-01 03:20:00,2022-03-01 06:45:00,"['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']",['Underframe frame work'],0
Stage VI Corrugated Sheets Tack welded  to Underframe frame work,UF0500,LWSCZAC (2nd Class AC Chair Car),2022-03-01 00:00:00,2022-03-01 07:15:00,['Trough Sheets'],['Trough Sheets'],0
Stage II Robotic Endwall Welding Station,EW0120,LWSCZAC (2nd Class AC Chair Car),2022-03-01 03:35:00,2022-03-01 07:25:00,['Output LHB END Wall'],['Output LHB END Wall'],0
Stage III Manual Repair stand,EW0130,LWSCZAC (2nd Class AC Chair Car),2022-03-01 07:25:00,2022-03-01 07:27:00,['Output LHB END Wall'],['End wall Complete'],0
Stage II Manual JIG 9.2,RF0120,LWSCZAC (2nd Class AC Chair Car),2022-03-01 04:00:00,2022-03-01 07:30:00,"['input for final roof arch complete', 'Roof sheeting complete']",['C'],0
